lon,lat,475,975,2475,10000
-82.0,24.4,1.78270072e-02,3.32568001e-02,6.57435170e-02,1.52836035e-01
-81.8,24.4,1.80956213e-02,3.40972010e-02,6.77117246e-02,1.57554791e-01
-81.6,24.4,1.82832818e-02,3.48408658e-02,6.95705621e-02,1.62127937e-01
-81.4,24.4,1.83987361e-02,3.54528027e-02,7.11962480e-02,1.66230021e-01
-82.0,24.6,1.80783891e-02,3.30572735e-02,6.43107222e-02,1.48051439e-01
-81.8,24.6,1.82517361e-02,3.36673898e-02,6.57859056e-02,1.51631200e-01
-81.6,24.6,1.83908372e-02,3.42277776e-02,6.71896170e-02,1.55094026e-01
-81.4,24.6,1.84798242e-02,3.46881374e-02,6.84014576e-02,1.58136470e-01
-81.2,24.6,1.84963253e-02,3.49766411e-02,6.92547155e-02,1.60360060e-01
-81.0,24.6,1.84158637e-02,3.50175043e-02,6.95762415e-02,1.61356665e-01
-82.0,24.8,1.82682041e-02,3.29075873e-02,6.32060408e-02,1.44260642e-01
-81.8,24.8,1.84018252e-02,3.33985623e-02,6.44167397e-02,1.47271962e-01
-81.6,24.8,1.85144502e-02,3.38574572e-02,6.55936516e-02,1.50302631e-01
-81.4,24.8,1.85811838e-02,3.42271293e-02,6.66171405e-02,1.53079606e-01
-81.2,24.8,1.85773594e-02,3.44355955e-02,6.72988467e-02,1.55016114e-01
-81.0,24.8,1.84832953e-02,3.44195156e-02,6.74795767e-02,1.55686506e-01
-80.8,24.8,1.82918263e-02,3.41593187e-02,6.71328770e-02,1.55117622e-01
-80.6,24.8,1.80079025e-02,3.36520544e-02,6.62376339e-02,1.53252900e-01
-82.0,25.0,1.84856873e-02,3.29113376e-02,6.25468401e-02,1.41665384e-01
-81.8,25.0,1.86033562e-02,3.33538362e-02,6.36852466e-02,1.44716668e-01
-81.6,25.0,1.87020464e-02,3.37785915e-02,6.48842126e-02,1.48389665e-01
-81.4,25.0,1.87625738e-02,3.41315118e-02,6.59991155e-02,1.52348143e-01
-81.2,25.0,1.87672328e-02,3.43407115e-02,6.67474396e-02,1.54985372e-01
-81.0,25.0,1.87226263e-02,3.43817767e-02,6.70029034e-02,1.55840226e-01
-80.8,25.0,1.85682101e-02,3.41715319e-02,6.67132035e-02,1.55333742e-01
-80.6,25.0,1.83016132e-02,3.37053824e-02,6.58888073e-02,1.53603575e-01
