lon,lat,475,975,2475,10000
-82.0,24.4,1.58224679e-02,3.14020061e-02,6.57427854e-02,1.63412322e-01
-81.8,24.4,1.61363920e-02,3.24158055e-02,6.82770504e-02,1.69845591e-01
-81.6,24.4,1.63779894e-02,3.33576637e-02,7.07342791e-02,1.76205444e-01
-81.4,24.4,1.65427965e-02,3.41677768e-02,7.29423282e-02,1.82034816e-01
-82.0,24.6,1.59445633e-02,3.08577631e-02,6.35472772e-02,1.56483173e-01
-81.8,24.6,1.61668886e-02,3.16176493e-02,6.54713579e-02,1.61334594e-01
-81.6,24.6,1.63509074e-02,3.23286953e-02,6.73279958e-02,1.66097493e-01
-81.4,24.6,1.64763897e-02,3.29298870e-02,6.89624319e-02,1.70351716e-01
-81.2,24.6,1.65134212e-02,3.33303467e-02,7.01554046e-02,1.73544283e-01
-81.0,24.6,1.64316006e-02,3.34362430e-02,7.06803021e-02,1.75100316e-01
-82.0,24.8,1.60176383e-02,3.04084177e-02,6.18054087e-02,1.51056973e-01
-81.8,24.8,1.61935722e-02,3.10215298e-02,6.33934076e-02,1.55163050e-01
-81.6,24.8,1.63390811e-02,3.15931168e-02,6.49431275e-02,1.59360068e-01
-81.4,24.8,1.64298280e-02,3.20635240e-02,6.63114565e-02,1.63281419e-01
-81.2,24.8,1.64378108e-02,3.23513006e-02,6.72655068e-02,1.66096376e-01
-81.0,24.8,1.63386441e-02,3.23793839e-02,6.75970838e-02,1.67196844e-01
-80.8,24.8,1.61239594e-02,3.21223311e-02,6.72676253e-02,1.66634949e-01
-80.6,24.8,1.57964769e-02,3.15689951e-02,6.62380462e-02,1.64327463e-01
-82.0,25.0,1.61155456e-02,3.01302006e-02,6.06132522e-02,1.47331704e-01
-81.8,25.0,1.62625047e-02,3.06644208e-02,6.20920864e-02,1.51573752e-01
-81.6,25.0,1.63803359e-02,3.11672686e-02,6.36326166e-02,1.56789572e-01
-81.4,25.0,1.64526149e-02,3.15864935e-02,6.50630054e-02,1.62517525e-01
-81.2,25.0,1.64556132e-02,3.18397485e-02,6.60516612e-02,1.66428419e-01
-81.0,25.0,1.63868570e-02,3.18802236e-02,6.64019223e-02,1.67759036e-01
-80.8,25.0,1.62003251e-02,3.16464339e-02,6.60857761e-02,1.67221542e-01
-80.6,25.0,1.58950070e-02,3.11352961e-02,6.51210048e-02,1.65049918e-01
-80.4,25.0,1.54798685e-02,3.03613289e-02,6.35251430e-02,1.61242856e-01
-80.2,25.0,1.49569340e-02,2.93289720e-02,6.12563980e-02,1.55342794e-01
-82.0,25.2,1.62533064e-02,3.00147291e-02,5.99000459e-02,1.45078557e-01
-81.8,25.2,1.63812699e-02,3.05170650e-02,6.14418102e-02,1.50310350e-01
-81.6,25.2,1.64926638e-02,3.10148373e-02,6.31863782e-02,1.58071086e-01
-81.4,25.2,1.65720723e-02,3.14469344e-02,6.48522189e-02,1.66874780e-01
-81.2,25.2,1.66157334e-02,3.17450329e-02,6.60086183e-02,1.72080683e-01
-81.0,25.2,1.65647581e-02,3.18064645e-02,6.64265548e-02,1.73756925e-01
-80.8,25.2,1.63541970e-02,3.15375477e-02,6.60560583e-02,1.73167071e-01
-80.6,25.2,1.60284855e-02,3.10059011e-02,6.50576347e-02,1.70960895e-01
-80.4,25.2,1.56002122e-02,3.02278163e-02,6.34355379e-02,1.67041902e-01
-80.2,25.2,1.50749563e-02,2.92058141e-02,6.11029700e-02,1.60525478e-01
-80.0,25.2,1.44870335e-02,2.79955187e-02,5.80803997e-02,1.49668591e-01
-82.0,25.4,1.64734435e-02,3.01191403e-02,5.97686660e-02,1.44672714e-01
-81.8,25.4,1.65890080e-02,3.06193218e-02,6.14885409e-02,1.51827955e-01
-81.6,25.4,1.67077289e-02,3.11405676e-02,6.34445761e-02,1.61859773e-01
-81.4,25.4,1.68107662e-02,3.16023200e-02,6.52074573e-02,1.70645515e-01
-81.2,25.4,1.68285598e-02,3.18566794e-02,6.62643811e-02,1.75034662e-01
-81.0,25.4,1.67298043e-02,3.18408249e-02,6.65348838e-02,1.76302958e-01
-80.8,25.4,1.64945788e-02,3.15345701e-02,6.60997870e-02,1.75601461e-01
-80.6,25.4,1.61567971e-02,3.09883925e-02,6.50724966e-02,1.73360269e-01
-80.4,25.4,1.57319444e-02,3.02229218e-02,6.34630348e-02,1.69478146e-01
-80.2,25.4,1.52197218e-02,2.92304585e-02,6.11660883e-02,1.63095034e-01
-80.0,25.4,1.46416403e-02,2.80424252e-02,5.81143008e-02,1.52155038e-01
-97.6,25.6,3.66078361e-02,6.28685454e-02,1.15195589e-01,2.49066120e-01
