lon,lat,475,975,2475,10000
-82.0,24.4,1.39607665e-02,2.46384622e-02,4.52634962e-02,9.96242887e-02
-81.8,24.4,1.41401304e-02,2.50474560e-02,4.60628667e-02,1.01686744e-01
-81.6,24.4,1.42260399e-02,2.53207830e-02,4.67041640e-02,1.03566812e-01
-81.4,24.4,1.42634897e-02,2.54938279e-02,4.72174310e-02,1.05179306e-01
-82.0,24.6,1.44498718e-02,2.52513716e-02,4.57422087e-02,9.88552762e-02
-81.8,24.6,1.45242307e-02,2.54602451e-02,4.62540046e-02,1.00281530e-01
-81.6,24.6,1.45782189e-02,2.56360546e-02,4.67231356e-02,1.01637150e-01
-81.4,24.6,1.46052418e-02,2.57694382e-02,4.71097207e-02,1.02800333e-01
-81.2,24.6,1.45952528e-02,2.58385309e-02,4.73604399e-02,1.03617800e-01
-81.0,24.6,1.45350146e-02,2.58165700e-02,4.74111984e-02,1.03908766e-01
-82.0,24.8,1.48333354e-02,2.57027888e-02,4.62044945e-02,9.84626278e-02
-81.8,24.8,1.48819298e-02,2.58616007e-02,4.66221821e-02,9.96338758e-02
-81.6,24.8,1.49297259e-02,2.60204964e-02,4.70470276e-02,1.00850771e-01
-81.4,24.8,1.49532761e-02,2.61439977e-02,4.74123807e-02,1.01965403e-01
-81.2,24.8,1.49355206e-02,2.61978579e-02,4.76304328e-02,1.02697690e-01
-81.0,24.8,1.48661717e-02,2.61592425e-02,4.76424630e-02,1.02869006e-01
-80.8,24.8,1.47422480e-02,2.60237586e-02,4.74448886e-02,1.02497288e-01
-80.6,24.8,1.45721884e-02,2.58008624e-02,4.70509822e-02,1.01603070e-01
-82.0,25.0,1.52444326e-02,2.62159622e-02,4.68582355e-02,9.86519527e-02
-81.8,25.0,1.52972324e-02,2.63834153e-02,4.73016674e-02,9.99062271e-02
-81.6,25.0,1.53534893e-02,2.65687361e-02,4.78264670e-02,1.01550815e-01
-81.4,25.0,1.53915653e-02,2.67349254e-02,4.83619171e-02,1.03531653e-01
-81.2,25.0,1.54016365e-02,2.68409536e-02,4.87244481e-02,1.04823830e-01
-81.0,25.0,1.54003903e-02,2.68994106e-02,4.89097091e-02,1.05350007e-01
-80.8,25.0,1.53182139e-02,2.68262750e-02,4.88253013e-02,1.05200832e-01
-80.6,25.0,1.51558886e-02,2.66229656e-02,4.84794835e-02,1.04429806e-01
-80.4,25.0,1.49239281e-02,2.63026909e-02,4.78931921e-02,1.03072902e-01
-80.2,25.0,1.46097484e-02,2.58408919e-02,4.70049780e-02,1.00928086e-01
-82.0,25.2,1.57250199e-02,2.68484786e-02,4.77773573e-02,9.95173479e-02
-81.8,25.2,1.57868444e-02,2.70451945e-02,4.83186326e-02,1.01130202e-01
-81.6,25.2,1.58703964e-02,2.73022586e-02,4.90925890e-02,1.03926297e-01
-81.4,25.2,1.59571166e-02,2.75724648e-02,4.99605258e-02,1.07580139e-01
-81.2,25.2,1.60620203e-02,2.78268663e-02,5.06276455e-02,1.09689598e-01
-81.0,25.2,1.60881650e-02,2.79353791e-02,5.09223972e-02,1.10486608e-01
-80.8,25.2,1.59596380e-02,2.78038087e-02,5.07499152e-02,1.10192373e-01
