lon,lat,475,975,2475,10000
-82.0,24.4,1.00103630e-02,1.83481982e-02,3.61697494e-02,8.82167083e-02
-81.8,24.4,1.01660875e-02,1.87443279e-02,3.72046550e-02,9.09163975e-02
-81.6,24.4,1.02698433e-02,1.90817187e-02,3.81543887e-02,9.35289910e-02
-81.4,24.4,1.03329665e-02,1.93527911e-02,3.89344358e-02,9.58639256e-02
-82.0,24.6,1.02193570e-02,1.83798540e-02,3.55742552e-02,8.55087586e-02
-81.8,24.6,1.03137197e-02,1.86573656e-02,3.63257328e-02,8.75029214e-02
-81.6,24.6,1.03892963e-02,1.89091564e-02,3.70403762e-02,8.94339180e-02
-81.4,24.6,1.04377750e-02,1.91130242e-02,3.76553751e-02,9.11284045e-02
-81.2,24.6,1.04472633e-02,1.92376531e-02,3.80723092e-02,9.23623449e-02
-81.0,24.6,1.04037841e-02,1.92480940e-02,3.82110237e-02,9.28932525e-02
-82.0,24.8,1.03854615e-02,1.84241339e-02,3.51566404e-02,8.32826761e-02
-81.8,24.8,1.04587545e-02,1.86494984e-02,3.57723296e-02,8.50413812e-02
-81.6,24.8,1.05228211e-02,1.88626756e-02,3.63814989e-02,8.67654870e-02
-81.4,24.8,1.05617605e-02,1.90338471e-02,3.69147043e-02,8.83528659e-02
-81.2,24.8,1.05610735e-02,1.91273677e-02,3.72637847e-02,8.94464426e-02
-81.0,24.8,1.05097001e-02,1.91137168e-02,3.73422105e-02,8.97929449e-02
-80.8,24.8,1.04035652e-02,1.89847832e-02,3.71386052e-02,8.94206406e-02
-80.6,24.8,1.02465031e-02,1.87419464e-02,3.66495234e-02,8.83172104e-02
-82.0,25.0,1.05717840e-02,1.85483222e-02,3.49943109e-02,8.18064790e-02
-81.8,25.0,1.06403407e-02,1.87609692e-02,3.55936055e-02,8.36285821e-02
-81.6,25.0,1.07014827e-02,1.89729336e-02,3.62542294e-02,8.59364118e-02
-81.4,25.0,1.07420070e-02,1.91539666e-02,3.68892139e-02,8.85101801e-02
-81.2,25.0,1.07517658e-02,1.92649917e-02,3.73191926e-02,9.02197065e-02
-81.0,25.0,1.07371013e-02,1.92989449e-02,3.74848695e-02,9.08006531e-02
-80.8,25.0,1.06563460e-02,1.92050029e-02,3.73415024e-02,9.05384059e-02
-80.6,25.0,1.05083653e-02,1.89819485e-02,3.68981112e-02,8.95278668e-02
-80.4,25.0,1.02991772e-02,1.86377257e-02,3.61678674e-02,8.77801236e-02
-80.2,25.0,1.00244384e-02,1.81620662e-02,3.51082289e-02,8.50420919e-02
-82.0,25.2,1.07982758e-02,1.87703241e-02,3.50977196e-02,8.10713932e-02
-81.8,25.2,1.08667533e-02,1.89920023e-02,3.57666615e-02,8.33590344e-02
