lon,lat,475,975,2475,10000
-82.0,24.4,2.57728420e-03,5.62150974e-03,1.19685758e-02,2.80186500e-02
-81.8,24.4,2.61649976e-03,5.71006134e-03,1.21354746e-02,2.83588087e-02
-81.6,24.4,2.61530267e-03,5.72628958e-03,1.21889339e-02,2.85198610e-02
-81.4,24.4,2.60944643e-03,5.73625776e-03,1.22359541e-02,2.86802631e-02
-82.0,24.6,2.82702011e-03,6.05467348e-03,1.26798483e-02,2.92838210e-02
-81.8,24.6,2.82678677e-03,6.07420229e-03,1.27387630e-02,2.94480295e-02
-81.6,24.6,2.82178907e-03,6.08558922e-03,1.27840601e-02,2.95864571e-02
-81.4,24.6,2.81261896e-03,6.08996113e-03,1.28164091e-02,2.96945404e-02
-81.2,24.6,2.79554537e-03,6.08001872e-03,1.28213329e-02,2.97364601e-02
-81.0,24.6,2.77058140e-03,6.05568949e-03,1.27977640e-02,2.97056841e-02
-82.0,24.8,3.01023745e-03,6.36938935e-03,1.32068463e-02,3.02755291e-02
-81.8,24.8,3.00514913e-03,6.38135233e-03,1.32548158e-02,3.04193054e-02
-81.6,24.8,2.99520936e-03,6.38301653e-03,1.32804945e-02,3.05063452e-02
-81.4,24.8,2.97964746e-03,6.37608822e-03,1.32904704e-02,3.05591538e-02
-81.2,24.8,2.95752969e-03,6.35798954e-03,1.32801560e-02,3.05643127e-02
-81.0,24.8,2.92749984e-03,6.32587961e-03,1.32429717e-02,3.05016900e-02
-80.8,24.8,2.89095650e-03,6.28175520e-03,1.31823568e-02,3.03801562e-02
-80.6,24.8,2.84742381e-03,6.22319629e-03,1.30907095e-02,3.01753585e-02
-82.0,25.0,3.18103374e-03,6.70296821e-03,1.37703605e-02,3.13690217e-02
-81.8,25.0,3.16915909e-03,6.70183301e-03,1.37927728e-02,3.14501799e-02
-81.6,25.0,3.15314869e-03,6.69033830e-03,1.37937856e-02,3.14846285e-02
-81.4,25.0,3.13583761e-03,6.67642008e-03,1.37911753e-02,3.15191815e-02
-81.2,25.0,3.11146205e-03,6.64654286e-03,1.37545231e-02,3.14572928e-02
-81.0,25.0,3.07785979e-03,6.59481838e-03,1.36690758e-02,3.12536730e-02
-80.8,25.0,3.03949864e-03,6.53545404e-03,1.35751058e-02,3.10413547e-02
-80.6,25.0,3.00041620e-03,6.47640398e-03,1.34867118e-02,3.08526134e-02
-80.4,25.0,2.95228960e-03,6.41228023e-03,1.33898495e-02,3.06452832e-02
-80.2,25.0,2.89956822e-03,6.34051216e-03,1.32813732e-02,3.04150775e-02
-82.0,25.2,3.35052945e-03,6.98591653e-03,1.43093382e-02,3.23914660e-02
-81.8,25.2,3.33225213e-03,6.97518225e-03,1.43123962e-02,3.24336120e-02
-81.6,25.2,3.31481677e-03,6.96425657e-03,1.43127041e-02,3.24811198e-02
-81.4,25.2,3.29243704e-03,6.94316172e-03,1.42868859e-02,3.24695169e-02
-81.2,25.2,3.25907913e-03,6.89828880e-03,1.41970836e-02,3.22627506e-02
-81.0,25.2,3.22085880e-03,6.84777554e-03,1.41014722e-02,3.20464409e-02
-80.8,25.2,3.18497748e-03,6.80624465e-03,1.40377011e-02,3.19282842e-02
-80.6,25.2,3.14626951e-03,6.76054273e-03,1.39669447e-02,3.17977203e-02
-80.4,25.2,3.10209564e-03,6.69927524e-03,1.38776016e-02,3.16277194e-02
-80.2,25.2,3.05510095e-03,6.62829084e-03,1.37774325e-02,3.14284344e-02
-80.0,25.2,3.00137981e-03,6.54009999e-03,1.36387410e-02,3.11084371e-02
-82.0,25.4,3.51288079e-03,7.24259039e-03,1.47875856e-02,3.32361097e-02
