lon,lat,0.002,0.003,0.00449,0.00674,0.0101,0.0152,0.0228,0.0341,0.0512,0.0768,0.115,0.173,0.259,0.389,0.583,0.875,1.31,1.97,2.95,4.43
-82.0,24.4,2.56735719e-03,1.86935893e-03,1.29946029e-03,8.47269353e-04,5.15074805e-04,2.87048276e-04,1.47170882e-04,6.91930037e-05,,,,,,,,,,,,
-81.8,24.4,2.59314224e-03,1.89333676e-03,1.31935683e-03,8.62076665e-04,5.25018038e-04,2.93037665e-04,1.50439128e-04,7.08157936e-05,,,,,,,,,,,,
-81.6,24.4,2.58929920e-03,1.89375746e-03,1.32191426e-03,8.65244504e-04,5.27870558e-04,2.95176190e-04,1.51843842e-04,7.16451081e-05,,,,,,,,,,,,
-81.4,24.4,2.58180493e-03,1.89164411e-03,1.32282803e-03,8.67457518e-04,5.30245678e-04,2.97127785e-04,1.53204686e-04,7.24831603e-05,,,,,,,,,,,,
-82.0,24.6,2.75342676e-03,2.01049336e-03,1.40192950e-03,9.16885352e-04,5.58852674e-04,3.12004698e-04,1.60037551e-04,7.51199666e-05,,,,,,,,,,,,
-81.8,24.6,2.74896938e-03,2.01090246e-03,1.40477025e-03,9.20401980e-04,5.61988170e-04,3.14316621e-04,1.61521298e-04,7.59689965e-05,,,,,,,,,,,,
-81.6,24.6,2.74108246e-03,2.00869967e-03,1.40569579e-03,9.22597968e-04,5.64277232e-04,3.16134361e-04,1.62742369e-04,7.66920576e-05,,,,,,,,,,,,
-81.4,24.6,2.73010920e-03,2.00426755e-03,1.40501373e-03,9.23662963e-04,5.65802679e-04,3.17469353e-04,1.63678987e-04,7.72600875e-05,,,,,,,,,,,,
-81.2,24.6,2.71354388e-03,1.99559461e-03,1.40116188e-03,9.22437572e-04,5.65748598e-04,3.17786517e-04,1.64004937e-04,7.74892448e-05,,,,,,,,,,,,
-81.0,24.6,2.69142788e-03,1.98274352e-03,1.39418060e-03,9.18924786e-04,5.64086899e-04,3.17042084e-04,1.63675724e-04,7.73431892e-05,,,,,,,,,,,,
-82.0,24.8,2.88994161e-03,2.11165417e-03,1.47503727e-03,9.67096636e-04,5.91140377e-04,3.30987157e-04,1.70195383e-04,8.00056315e-05,,,,,,,,,,,,
-81.8,24.8,2.88014180e-03,2.10846115e-03,1.47556777e-03,9.69224101e-04,5.93493105e-04,3.32890712e-04,1.71479914e-04,8.07632584e-05,,,,,,,,,,,,
