lon,lat,475,975,2475,10000
-82.0,24.4,8.38023968e-03,1.79023590e-02,3.98818509e-02,1.07067595e-01
-81.8,24.4,8.66763549e-03,1.88265946e-02,4.21499024e-02,1.12579749e-01
-81.6,24.4,8.91560486e-03,1.97292848e-02,4.44311582e-02,1.18250245e-01
-81.4,24.4,9.11449782e-03,2.05526457e-02,4.65665747e-02,1.23655130e-01
-82.0,24.6,8.33080656e-03,1.72527269e-02,3.77355047e-02,1.00512811e-01
-81.8,24.6,8.54646729e-03,1.79432421e-02,3.94453313e-02,1.04548818e-01
-81.6,24.6,8.74170653e-03,1.86154915e-02,4.11362451e-02,1.08675129e-01
-81.4,24.6,8.89992065e-03,1.92172954e-02,4.26815121e-02,1.12479367e-01
-81.2,24.6,8.99544224e-03,1.96665187e-02,4.38812407e-02,1.15454853e-01
-81.0,24.6,9.00250758e-03,1.98765328e-02,4.45220148e-02,1.17048805e-01
-82.0,24.8,8.25648096e-03,1.67094115e-02,3.60192587e-02,9.58013328e-02
-81.8,24.8,8.42947561e-03,1.72756070e-02,3.75247567e-02,9.93210553e-02
-81.6,24.8,8.58487037e-03,1.78030661e-02,3.89558063e-02,1.03120684e-01
-81.4,24.8,8.70501766e-03,1.82607165e-02,4.02298735e-02,1.06816204e-01
-81.2,24.8,8.76913228e-03,1.85852844e-02,4.11890967e-02,1.09593177e-01
-81.0,24.8,8.75823638e-03,1.87119084e-02,4.16452372e-02,1.10828175e-01
-80.8,24.8,8.66426344e-03,1.86106039e-02,4.15402265e-02,1.10589992e-01
-80.6,24.8,8.48768137e-03,1.82660020e-02,4.08251893e-02,1.08802393e-01
-82.0,25.0,8.20130091e-03,1.63104826e-02,3.49285093e-02,9.30280973e-02
-81.8,25.0,8.34411400e-03,1.68153116e-02,3.63253093e-02,9.70290181e-02
-81.6,25.0,8.46846585e-03,1.72612462e-02,3.77697491e-02,1.02111530e-01
-81.4,25.0,8.56299465e-03,1.76390058e-02,3.90212605e-02,1.07618683e-01
-81.2,25.0,8.61196885e-03,1.79019755e-02,3.99591508e-02,1.11670259e-01
-81.0,25.0,8.61070887e-03,1.80109467e-02,4.04134033e-02,1.13308015e-01
-80.8,25.0,8.53051714e-03,1.79127981e-02,4.03061352e-02,1.13136063e-01
-80.6,25.0,8.37008113e-03,1.75990424e-02,3.96285905e-02,1.11410152e-01
-80.4,25.0,8.13757603e-03,1.70862361e-02,3.84052212e-02,1.08122168e-01
-80.2,25.0,7.83832504e-03,1.63502629e-02,3.65686395e-02,1.02787457e-01
-82.0,25.2,8.17624286e-03,1.60684037e-02,3.43326245e-02,9.18501043e-02
-81.8,25.2,8.29659338e-03,1.65158781e-02,3.57648060e-02,9.71569397e-02
-81.6,25.2,8.40470635e-03,1.69432438e-02,3.72933057e-02,1.04770555e-01
-81.4,25.2,8.49204970e-03,1.72952445e-02,3.86788081e-02,1.13131279e-01
-81.2,25.2,8.55385170e-03,1.75591193e-02,3.97192430e-02,1.18792527e-01
-81.0,25.2,8.55448985e-03,1.76626068e-02,4.02232496e-02,1.20938050e-01
-80.8,25.2,8.45862337e-03,1.75350669e-02,4.00732764e-02,1.20765040e-01
-80.6,25.2,8.29009528e-03,1.72110149e-02,3.93626856e-02,1.18976130e-01
