lon,lat,475,975,2475,10000
-82.0,24.4,6.67380596e-03,1.28853125e-02,2.63783505e-02,6.51945857e-02
-81.8,24.4,6.86273171e-03,1.33726999e-02,2.75180657e-02,6.79060200e-02
-81.6,24.4,7.01716996e-03,1.38294736e-02,2.86277608e-02,7.06403961e-02
-81.4,24.4,7.13933648e-03,1.42358055e-02,2.96468246e-02,7.32001691e-02
-82.0,24.6,6.71934855e-03,1.26665632e-02,2.53731574e-02,6.20795075e-02
-81.8,24.6,6.85557026e-03,1.30275090e-02,2.62824098e-02,6.40827783e-02
-81.6,24.6,6.97734119e-03,1.33725068e-02,2.71295975e-02,6.60958903e-02
-81.4,24.6,7.07492149e-03,1.36749746e-02,2.78760857e-02,6.79242069e-02
-81.2,24.6,7.13314585e-03,1.38948344e-02,2.84442371e-02,6.93306959e-02
-81.0,24.6,7.13600744e-03,1.39887720e-02,2.87312985e-02,7.00554221e-02
-82.0,24.8,6.73749378e-03,1.24948369e-02,2.46444079e-02,5.97808836e-02
-81.8,24.8,6.84962376e-03,1.27909040e-02,2.53999967e-02,6.15345528e-02
-81.6,24.8,6.95119071e-03,1.30746667e-02,2.61627928e-02,6.34036371e-02
-81.4,24.8,7.02929594e-03,1.33174939e-02,2.68272640e-02,6.52008369e-02
-81.2,24.8,7.07029493e-03,1.34844813e-02,2.72968758e-02,6.65248945e-02
-81.0,24.8,7.06205167e-03,1.35415287e-02,2.75032813e-02,6.70839559e-02
-80.8,24.8,6.99912722e-03,1.34743510e-02,2.74236279e-02,6.69211560e-02
-80.6,24.8,6.88197862e-03,1.32769701e-02,2.70400081e-02,6.60107737e-02
-82.0,25.0,6.77210331e-03,1.24126221e-02,2.42277678e-02,5.82989017e-02
-81.8,25.0,6.86964891e-03,1.26767261e-02,2.49548649e-02,6.03611934e-02
-81.6,25.0,6.95653104e-03,1.29300509e-02,2.57197974e-02,6.28804284e-02
-81.4,25.0,7.02373852e-03,1.31490696e-02,2.64321220e-02,6.56329403e-02
-81.2,25.0,7.06099614e-03,1.33021753e-02,2.69338100e-02,6.76204132e-02
-81.0,25.0,7.06705814e-03,1.33715998e-02,2.71783470e-02,6.84133328e-02
-80.8,25.0,7.01653385e-03,1.33184327e-02,2.71221296e-02,6.83173025e-02
-80.6,25.0,6.90801805e-03,1.31379502e-02,2.67641652e-02,6.74571636e-02
-80.4,25.0,6.74673094e-03,1.28385559e-02,2.60899658e-02,6.58292088e-02
-80.2,25.0,6.53448494e-03,1.24259503e-02,2.50825365e-02,6.31713222e-02
-82.0,25.2,6.83382773e-03,1.24190259e-02,2.40821748e-02,5.76499855e-02
-81.8,25.2,6.92116664e-03,1.26701001e-02,2.48566005e-02,6.03785833e-02
-81.6,25.2,7.00319393e-03,1.29207372e-02,2.57139710e-02,6.41923171e-02
-81.4,25.2,7.07251173e-03,1.31469922e-02,2.65282039e-02,6.84689313e-02
-81.2,25.2,7.12875823e-03,1.33283569e-02,2.71340930e-02,7.12987291e-02
-81.0,25.2,7.14007823e-03,1.34086794e-02,2.74300194e-02,7.23511449e-02
-80.8,25.2,7.07551742e-03,1.33353284e-02,2.73444190e-02,7.22298684e-02
-80.6,25.2,6.95614189e-03,1.31409847e-02,2.69589985e-02,7.13238796e-02
-80.4,25.2,6.78769781e-03,1.28336707e-02,2.62648270e-02,6.95622347e-02
-80.2,25.2,6.57447985e-03,1.24211669e-02,2.52184974e-02,6.64334497e-02
-80.0,25.2,6.33344835e-03,1.19369374e-02,2.39003413e-02,6.12784112e-02
-82.0,25.4,6.94391141e-03,1.25393510e-02,2.42462769e-02,5.80200183e-02
-81.8,25.4,7.02401139e-03,1.27906828e-02,2.51126305e-02,6.17301826e-02
-81.6,25.4,7.10846344e-03,1.30557264e-02,2.60797595e-02,6.67096578e-02
-81.4,25.4,7.18875656e-03,1.33047190e-02,2.69673818e-02,7.13475664e-02
-81.2,25.4,7.22957928e-03,1.34679705e-02,2.75597442e-02,7.38639135e-02
-81.0,25.4,7.21677133e-03,1.35124312e-02,2.77929739e-02,7.47100633e-02
-80.8,25.4,7.13934180e-03,1.34206625e-02,2.76776457e-02,7.45377342e-02
