lon,lat,475,975,2475,10000
-82.0,24.4,7.49362678e-03,1.31448825e-02,2.43598032e-02,5.24434168e-02
-81.8,24.4,7.58073853e-03,1.33321791e-02,2.47615258e-02,5.34140694e-02
-81.6,24.4,7.61452523e-03,1.34387415e-02,2.50443814e-02,5.42386427e-02
-81.4,24.4,7.62472451e-03,1.35067297e-02,2.52584211e-02,5.49265543e-02
-82.0,24.6,7.78464881e-03,1.35537383e-02,2.48808278e-02,5.26011158e-02
-81.8,24.6,7.81281076e-03,1.36424472e-02,2.51109077e-02,5.32340386e-02
-81.6,24.6,7.83131524e-03,1.37164771e-02,2.53154464e-02,5.38291504e-02
-81.4,24.6,7.83778186e-03,1.37698450e-02,2.54645887e-02,5.43361964e-02
-81.2,24.6,7.82812590e-03,1.37930408e-02,2.55583669e-02,5.46920277e-02
-81.0,24.6,7.79683040e-03,1.37739886e-02,2.55717101e-02,5.48182294e-02
-82.0,24.8,8.00954657e-03,1.38769451e-02,2.53171613e-02,5.28243010e-02
-81.8,24.8,8.02481105e-03,1.39434750e-02,2.54832071e-02,5.33462467e-02
-81.6,24.8,8.04164901e-03,1.40135887e-02,2.56570915e-02,5.38975809e-02
-81.4,24.8,8.04786941e-03,1.40668836e-02,2.58059423e-02,5.44016370e-02
-81.2,24.8,8.03530480e-03,1.40855527e-02,2.58917691e-02,5.47322356e-02
-81.0,24.8,7.99971913e-03,1.40592795e-02,2.58918124e-02,5.48133504e-02
-80.8,24.8,7.94021807e-03,1.39866331e-02,2.58052711e-02,5.46520792e-02
-80.6,24.8,7.86185891e-03,1.38749830e-02,2.56426640e-02,5.42678328e-02
-82.0,25.0,8.24800858e-03,1.42336127e-02,2.57812464e-02,5.32982140e-02
-81.8,25.0,8.26679862e-03,1.43093486e-02,2.59663272e-02,5.38767446e-02
-81.6,25.0,8.28990098e-03,1.43997659e-02,2.61944449e-02,5.46439250e-02
-81.4,25.0,8.30577429e-03,1.44842185e-02,2.64360414e-02,5.55880871e-02
-81.2,25.0,8.30972132e-03,1.45393926e-02,2.66034727e-02,5.62138509e-02
-81.0,25.0,8.31101388e-03,1.45763039e-02,2.67055438e-02,5.65192526e-02
-80.8,25.0,8.27312550e-03,1.45425247e-02,2.66838320e-02,5.65006700e-02
-80.6,25.0,8.19746656e-03,1.44403211e-02,2.65432879e-02,5.61795870e-02
-80.4,25.0,8.08990594e-03,1.42785434e-02,2.62969567e-02,5.55819061e-02
-80.2,25.0,7.94302844e-03,1.40411556e-02,2.59124925e-02,5.46073949e-02
-82.0,25.2,8.52370247e-03,1.46599977e-02,2.63676124e-02,5.41081452e-02
-81.8,25.2,8.54809194e-03,1.47550223e-02,2.66013984e-02,5.48640983e-02
-81.6,25.2,8.58763424e-03,1.48931610e-02,2.69605003e-02,5.62108410e-02
-81.4,25.2,8.63203186e-03,1.50470701e-02,2.73871223e-02,5.79612482e-02
-81.2,25.2,8.68717399e-03,1.51961420e-02,2.77231121e-02,5.89785734e-02
-81.0,25.2,8.70154014e-03,1.52616942e-02,2.78803335e-02,5.94053877e-02
-80.8,25.2,8.63839160e-03,1.51904623e-02,2.78059030e-02,5.92961128e-02
-80.6,25.2,8.53855276e-03,1.50523814e-02,2.76155616e-02,5.89112522e-02
-80.4,25.2,8.40632968e-03,1.48539358e-02,2.73188939e-02,5.82664517e-02
-80.2,25.2,8.23762004e-03,1.45807150e-02,2.68766284e-02,5.72176084e-02
-80.0,25.2,8.04918255e-03,1.42452885e-02,2.62549167e-02,5.52993677e-02
-82.0,25.4,8.86710042e-03,1.52063319e-02,2.71518090e-02,5.54146343e-02
-81.8,25.4,8.89467175e-03,1.53259421e-02,2.74675670e-02,5.65394189e-02
-81.6,25.4,8.95543339e-03,1.55185977e-02,2.79698615e-02,5.84194555e-02
-81.4,25.4,9.03214010e-03,1.57282552e-02,2.84641968e-02,6.00605643e-02
-81.2,25.4,9.06343837e-03,1.58392201e-02,2.87264808e-02,6.08292306e-02
-81.0,25.4,9.04125746e-03,1.58467051e-02,2.87932936e-02,6.10650898e-02
-80.8,25.4,8.95595922e-03,1.57424856e-02,2.86729078e-02,6.08730725e-02
-80.6,25.4,8.83844481e-03,1.55787757e-02,2.84493935e-02,6.04365974e-02
-80.4,25.4,8.69773828e-03,1.53693354e-02,2.81419258e-02,5.97852387e-02
-80.2,25.4,8.52558469e-03,1.50943046e-02,2.77068946e-02,5.87810214e-02
-80.0,25.4,8.32770052e-03,1.47461485e-02,2.70839565e-02,5.70825626e-02
-97.6,25.6,1.13524741e-02,1.90228025e-02,3.44655754e-02,7.40716845e-02
-97.4,25.6,1.08280602e-02,1.81855873e-02,3.29422050e-02,7.12108732e-02
-97.2,25.6,1.03696661e-02,1.74846574e-02,3.17259672e-02,6.92170623e-02
-97.0,25.6,9.95608361e-03,1.68543974e-02,3.06947628e-02,6.78947319e-02
-82.0,25.6,9.34624961e-03,1.59833826e-02,2.82995856e-02,5.75118796e-02
-81.8,25.6,9.35292480e-03,1.60932181e-02,2.86674783e-02,5.89576887e-02
-81.6,25.6,9.39312887e-03,1.62613472e-02,2.91449378e-02,6.07952597e-02
-81.4,25.6,9.41814610e-03,1.63790718e-02,2.94508270e-02,6.17702910e-02
-81.2,25.6,9.39632604e-03,1.63988830e-02,2.95559327e-02,6.21444601e-02
-81.0,25.6,9.34089243e-03,1.63536273e-02,2.95413767e-02,6.22053357e-02
-80.8,25.6,9.24696933e-03,1.62381720e-02,2.94073356e-02,6.19892383e-02
-80.6,25.6,9.12585316e-03,1.60721565e-02,2.91861116e-02,6.15684737e-02
-80.4,25.6,8.98090614e-03,1.58600368e-02,2.88827121e-02,6.09461610e-02
-80.2,25.6,8.80843913e-03,1.55905371e-02,2.84697120e-02,6.00284951e-02
-80.0,25.6,8.61023884e-03,1.52513904e-02,2.78893185e-02,5.85406207e-02
-98.2,25.8,1.35109598e-02,2.27528767e-02,4.12554651e-02,8.92938983e-02
-98.0,25.8,1.27918391e-02,2.14458114e-02,3.88694100e-02,8.36817355e-02
-97.8,25.8,1.21832961e-02,2.03668457e-02,3.68835425e-02,7.94043201e-02
-97.6,25.8,1.16698764e-02,1.94677636e-02,3.51876395e-02,7.60203552e-02
-97.4,25.8,1.12398914e-02,1.87188538e-02,3.37981760e-02,7.33900855e-02
-97.2,25.8,1.08401132e-02,1.80842952e-02,3.26457533e-02,7.13182950e-02
-97.0,25.8,1.04471021e-02,1.74813110e-02,3.15898180e-02,6.95455968e-02
-82.0,25.8,9.81333686e-03,1.67626725e-02,2.95005582e-02,5.98262943e-02
-81.8,25.8,9.80845240e-03,1.68671092e-02,2.99046167e-02,6.15997297e-02
-81.6,25.8,9.80214492e-03,1.69425799e-02,3.01898403e-02,6.26678059e-02
-81.4,25.8,9.78475986e-03,1.69773552e-02,3.03460669e-02,6.32047438e-02
-81.2,25.8,9.73509025e-03,1.69553282e-02,3.03777610e-02,6.33984319e-02
