lon,lat,475,975,2475,10000
-82.0,24.4,8.32970082e-03,1.54863117e-02,2.98077884e-02,6.45630852e-02
-81.8,24.4,8.43567402e-03,1.56900774e-02,3.01847045e-02,6.53961239e-02
-81.6,24.4,8.44387009e-03,1.57443890e-02,3.03383061e-02,6.58783405e-02
-81.4,24.4,8.42448571e-03,1.57509280e-02,3.04117788e-02,6.61945066e-02
-82.0,24.6,8.83029909e-03,1.63044397e-02,3.09727479e-02,6.61746682e-02
-81.8,24.6,8.83676924e-03,1.63562214e-02,3.11154633e-02,6.65881118e-02
-81.6,24.6,8.83194099e-03,1.63887303e-02,3.12284836e-02,6.69501612e-02
-81.4,24.6,8.81641924e-03,1.64030976e-02,3.13115389e-02,6.72476873e-02
-81.2,24.6,8.78812498e-03,1.63959628e-02,3.13594381e-02,6.74657623e-02
-81.0,24.6,8.74421835e-03,1.63615919e-02,3.13599526e-02,6.75652351e-02
-82.0,24.8,9.19243623e-03,1.69063208e-02,3.18283588e-02,6.73837308e-02
-81.8,24.8,9.18533234e-03,1.69383133e-02,3.19414100e-02,6.77323531e-02
-81.6,24.8,9.18392378e-03,1.69823612e-02,3.20780884e-02,6.81435407e-02
-81.4,24.8,9.17300766e-03,1.70111012e-02,3.21918949e-02,6.85157580e-02
-81.2,24.8,9.14480747e-03,1.70095790e-02,3.22546550e-02,6.87703911e-02
-81.0,24.8,9.09758227e-03,1.69742025e-02,3.22584717e-02,6.88777796e-02
-80.8,24.8,9.03154634e-03,1.69043336e-02,3.22013267e-02,6.88356573e-02
-80.6,24.8,8.95506462e-03,1.68155102e-02,3.21100935e-02,6.87014014e-02
-82.0,25.0,9.56149092e-03,1.75178126e-02,3.26978803e-02,6.86563873e-02
-81.8,25.0,9.56335335e-03,1.75735213e-02,3.28594822e-02,6.91256441e-02
-81.6,25.0,9.57484895e-03,1.76520953e-02,3.30704906e-02,6.97477187e-02
-81.4,25.0,9.58167182e-03,1.77299582e-02,3.32970446e-02,7.04711021e-02
-81.2,25.0,9.58025268e-03,1.77899764e-02,3.34822562e-02,7.10445195e-02
-81.0,25.0,9.58374198e-03,1.78589728e-02,3.36751051e-02,7.15682713e-02
-80.8,25.0,9.54404277e-03,1.78487195e-02,3.37328235e-02,7.17879418e-02
-80.6,25.0,9.46428247e-03,1.77615845e-02,3.36542544e-02,7.16961932e-02
-80.4,25.0,9.35569284e-03,1.76186545e-02,3.34757423e-02,7.13696352e-02
-80.2,25.0,9.20852280e-03,1.73989808e-02,3.31585727e-02,7.07131626e-02
