lon,lat,475,975,2475,10000
-82.0,24.4,1.90663769e-02,3.34485408e-02,6.18781762e-02,1.34454829e-01
-81.8,24.4,1.93071206e-02,3.40402587e-02,6.30948062e-02,1.37248838e-01
-81.6,24.4,1.94443373e-02,3.44985233e-02,6.41591327e-02,1.39855992e-01
-81.4,24.4,1.95144283e-02,3.48436279e-02,6.50382789e-02,1.42107415e-01
-82.0,24.6,1.95603241e-02,3.38724052e-02,6.17625472e-02,1.32410984e-01
-81.8,24.6,1.96853543e-02,3.42589163e-02,6.26224622e-02,1.34477609e-01
-81.6,24.6,1.97805560e-02,3.46012455e-02,6.34188630e-02,1.36435591e-01
-81.4,24.6,1.98344922e-02,3.48678424e-02,6.40808422e-02,1.38108331e-01
-81.2,24.6,1.98312553e-02,3.50155983e-02,6.45147434e-02,1.39268405e-01
-81.0,24.6,1.97511792e-02,3.49952867e-02,6.46175284e-02,1.39675175e-01
-82.0,24.8,1.99531502e-02,3.42518514e-02,6.17861703e-02,1.30936172e-01
-81.8,24.8,2.00433736e-02,3.45617519e-02,6.24882760e-02,1.32648053e-01
-81.6,24.8,2.01243105e-02,3.48577799e-02,6.31757599e-02,1.34358939e-01
-81.4,24.8,2.01678751e-02,3.50885042e-02,6.37594251e-02,1.35888104e-01
-81.2,24.8,2.01514914e-02,3.51991994e-02,6.41147671e-02,1.36888337e-01
-81.0,24.8,2.00595826e-02,3.51478219e-02,6.41470519e-02,1.37114902e-01
-80.8,24.8,1.98865589e-02,3.49231412e-02,6.38445100e-02,1.36581688e-01
-80.6,24.8,1.96407032e-02,3.45325304e-02,6.32105440e-02,1.35279391e-01
-82.0,25.0,2.03782103e-02,3.47515982e-02,6.21175891e-02,1.30233646e-01
-81.8,25.0,2.04665547e-02,3.50556622e-02,6.28117751e-02,1.31972435e-01
-81.6,25.0,2.05487959e-02,3.53640845e-02,6.35688942e-02,1.34061994e-01
-81.4,25.0,2.06007792e-02,3.56244929e-02,6.42837760e-02,1.36298694e-01
-81.2,25.0,2.06096633e-02,3.57817537e-02,6.47540410e-02,1.37744331e-01
-81.0,25.0,2.05919160e-02,3.58403626e-02,6.49399036e-02,1.38212348e-01
-80.8,25.0,2.04670500e-02,3.56921998e-02,6.47465843e-02,1.37833150e-01
-80.6,25.0,2.02335165e-02,3.53339160e-02,6.41788020e-02,1.36668030e-01
-80.4,25.0,1.99030582e-02,3.47820787e-02,6.32562911e-02,1.34731761e-01
-80.2,25.0,1.94640363e-02,3.40116272e-02,6.19148078e-02,1.31801673e-01
-82.0,25.2,2.08795378e-02,3.54251839e-02,6.28040260e-02,1.30335509e-01
-81.8,25.2,2.09728305e-02,3.57554621e-02,6.35879072e-02,1.32436559e-01
-81.6,25.2,2.10786308e-02,3.61331761e-02,6.45705853e-02,1.35534149e-01
-81.4,25.2,2.11783246e-02,3.64987266e-02,6.55740684e-02,1.39025500e-01
-81.2,25.2,2.12895206e-02,3.68265071e-02,6.63320144e-02,1.41117870e-01
