lon,lat,475,975,2475,10000
-82.0,24.4,8.32777794e-01,1.72944296e+00,3.61976705e+00,8.38308415e+00
-81.8,24.4,8.48688421e-01,1.76472028e+00,3.68291988e+00,8.50577871e+00
-81.6,24.4,8.55043055e-01,1.78075527e+00,3.71596162e+00,8.58549657e+00
-81.4,24.4,8.59620297e-01,1.79446872e+00,3.74709370e+00,8.66656136e+00
-82.0,24.6,8.84040556e-01,1.82884127e+00,3.79603718e+00,8.69742638e+00
-81.8,24.6,8.89397923e-01,1.84121304e+00,3.82600396e+00,8.76846435e+00
-81.6,24.6,8.93482530e-01,1.85154839e+00,3.85209361e+00,8.83248726e+00
-81.4,24.6,8.95959870e-01,1.85933684e+00,3.87303774e+00,8.88520465e+00
-81.2,24.6,8.95355853e-01,1.86177994e+00,3.88262790e+00,8.91227889e+00
-81.0,24.6,8.91044714e-01,1.85787865e+00,3.87881131e+00,8.90850560e+00
-82.0,24.8,9.21381095e-01,1.89392381e+00,3.92869797e+00,8.96127691e+00
-81.8,24.8,9.24639868e-01,1.90320815e+00,3.95340931e+00,9.02308505e+00
-81.6,24.8,9.26627857e-01,1.90976069e+00,3.97088150e+00,9.06622488e+00
-81.4,24.8,9.26966993e-01,1.91369976e+00,3.98307725e+00,9.09718288e+00
-81.2,24.8,9.24616135e-01,1.91319512e+00,3.98629795e+00,9.10800819e+00
-81.0,24.8,9.18656637e-01,1.90649855e+00,3.97659627e+00,9.09319641e+00
-80.8,24.8,9.09273419e-01,1.89408442e+00,3.95521897e+00,9.05060390e+00
-80.6,24.8,8.96166649e-01,1.87493885e+00,3.91893088e+00,8.97206718e+00
-82.0,25.0,9.62933305e-01,1.96639047e+00,4.07377808e+00,9.25007676e+00
-81.8,25.0,9.64146606e-01,1.97186837e+00,4.08720245e+00,9.28453067e+00
-81.6,25.0,9.64387644e-01,1.97576759e+00,4.09737381e+00,9.31189900e+00
-81.4,25.0,9.63813835e-01,1.97954717e+00,4.11026253e+00,9.35369479e+00
-81.2,25.0,9.60041737e-01,1.97648772e+00,4.10770239e+00,9.35216760e+00
-81.0,25.0,9.52031605e-01,1.96409567e+00,4.08446155e+00,9.29492727e+00
-80.8,25.0,9.40911215e-01,1.94754002e+00,4.05625779e+00,9.23140408e+00
-80.6,25.0,9.27768415e-01,1.92904243e+00,4.02537832e+00,9.17132035e+00
-80.4,25.0,9.11995912e-01,1.90675166e+00,3.98544632e+00,9.10059807e+00
-80.2,25.0,8.93093552e-01,1.87960458e+00,3.93715303e+00,9.00529412e+00
-82.0,25.2,1.00524262e+00,2.03752846e+00,4.19736383e+00,9.50346798e+00
-81.8,25.2,1.00507612e+00,2.04099391e+00,4.20704333e+00,9.53041265e+00
