lon,lat,475,975,2475,10000
-82.0,24.4,9.82624754e-03,1.85763807e-02,3.76474868e-02,9.28810273e-02
-81.8,24.4,9.99702252e-03,1.90601589e-02,3.88765069e-02,9.61327819e-02
-81.6,24.4,1.01206561e-02,1.94923498e-02,4.00276319e-02,9.93130246e-02
-81.4,24.4,1.02007979e-02,1.98512391e-02,4.10403113e-02,1.02191426e-01
-82.0,24.6,9.96269598e-03,1.84320946e-02,3.66381603e-02,8.94222466e-02
-81.8,24.6,1.00751137e-02,1.87843741e-02,3.76084853e-02,9.18544067e-02
-81.6,24.6,1.01675414e-02,1.91097761e-02,3.84958518e-02,9.42269764e-02
-81.4,24.6,1.02297121e-02,1.93796269e-02,3.92490128e-02,9.63279078e-02
-81.2,24.6,1.02471746e-02,1.95532499e-02,3.97874830e-02,9.78835289e-02
-81.0,24.6,1.02041326e-02,1.95873247e-02,4.00042845e-02,9.86048578e-02
-82.0,24.8,1.00654080e-02,1.83242404e-02,3.58690723e-02,8.66950452e-02
-81.8,24.8,1.01530862e-02,1.86084531e-02,3.66612245e-02,8.87445152e-02
-81.6,24.8,1.02285234e-02,1.88761293e-02,3.74444542e-02,9.08470961e-02
-81.4,24.8,1.02761851e-02,1.90947359e-02,3.81204654e-02,9.28123118e-02
-81.2,24.8,1.02804196e-02,1.92229287e-02,3.85583018e-02,9.41981809e-02
-81.0,24.8,1.02285665e-02,1.92242436e-02,3.86895939e-02,9.46976206e-02
-80.8,24.8,1.01159172e-02,1.90874869e-02,3.84990206e-02,9.43454734e-02
-80.6,24.8,9.94535429e-03,1.88106897e-02,3.79744194e-02,9.31123380e-02
-82.0,25.0,1.01868455e-02,1.83072442e-02,3.54032115e-02,8.47887948e-02
-81.8,25.0,1.02646107e-02,1.85648736e-02,3.61544678e-02,8.69524432e-02
-81.6,25.0,1.03313340e-02,1.88150981e-02,3.69637916e-02,8.96547040e-02
-81.4,25.0,1.03749811e-02,1.90269699e-02,3.77294754e-02,9.27270579e-02
-81.2,25.0,1.03839847e-02,1.91575839e-02,3.82355465e-02,9.48031082e-02
-81.0,25.0,1.03615795e-02,1.91915409e-02,3.84246503e-02,9.55168264e-02
-80.8,25.0,1.02711655e-02,1.90821146e-02,3.82720197e-02,9.52425618e-02
-80.6,25.0,1.01112893e-02,1.88269237e-02,3.77782030e-02,9.40992766e-02
-80.4,25.0,9.88786616e-03,1.84343945e-02,3.69181073e-02,9.20930978e-02
-80.2,25.0,9.59898811e-03,1.78994408e-02,3.56805610e-02,8.89509455e-02
-82.0,25.2,1.03422940e-02,1.83892845e-02,3.52248973e-02,8.36327920e-02
-81.8,25.2,1.04158037e-02,1.86452840e-02,3.60353255e-02,8.64023769e-02
-81.6,25.2,1.04866823e-02,1.89141854e-02,3.70025390e-02,9.06138371e-02
-81.4,25.2,1.05446711e-02,1.91595375e-02,3.79535317e-02,9.56599144e-02
-81.2,25.2,1.05930852e-02,1.93487187e-02,3.86086892e-02,9.86355019e-02
-81.0,25.2,1.05849623e-02,1.94066178e-02,3.88614418e-02,9.96117158e-02
