lon,lat,475,975,2475,10000
-82.0,24.4,1.17796969e-02,2.58633664e-02,5.82436527e-02,1.56135722e-01
-81.8,24.4,1.21077424e-02,2.70669053e-02,6.13127463e-02,1.63975621e-01
-81.6,24.4,1.23849731e-02,2.82265438e-02,6.43477815e-02,1.71886045e-01
-81.4,24.4,1.25960115e-02,2.92631911e-02,6.71382369e-02,1.79292236e-01
-82.0,24.6,1.17179480e-02,2.49237852e-02,5.51950031e-02,1.47196458e-01
-81.8,24.6,1.19694358e-02,2.58848380e-02,5.76876769e-02,1.53054519e-01
-81.6,24.6,1.21884779e-02,2.67668205e-02,5.99851473e-02,1.58912638e-01
-81.4,24.6,1.23546518e-02,2.75391569e-02,6.20491048e-02,1.64236338e-01
-81.2,24.6,1.24367751e-02,2.80956769e-02,6.36171086e-02,1.68338482e-01
-81.0,24.6,1.24042763e-02,2.83272479e-02,6.44165397e-02,1.70491530e-01
-82.0,24.8,1.16223344e-02,2.40799721e-02,5.27160597e-02,1.40464256e-01
-81.8,24.8,1.18255899e-02,2.48984972e-02,5.48184963e-02,1.45489724e-01
-81.6,24.8,1.19992606e-02,2.56394689e-02,5.69101168e-02,1.50746186e-01
-81.4,24.8,1.21230880e-02,2.62359063e-02,5.86282847e-02,1.55762018e-01
-81.2,24.8,1.21713051e-02,2.66423084e-02,5.98912650e-02,1.59473610e-01
-81.0,24.8,1.21202951e-02,2.67728905e-02,6.04525570e-02,1.61089917e-01
-80.8,24.8,1.19615415e-02,2.65931855e-02,6.02505410e-02,1.60689458e-01
-80.6,24.8,1.16957160e-02,2.60840489e-02,5.92262330e-02,1.58162443e-01
-82.0,25.0,1.15395438e-02,2.34460593e-02,5.09847918e-02,1.36114531e-01
-81.8,25.0,1.17052180e-02,2.41299043e-02,5.29149577e-02,1.41512460e-01
-81.6,25.0,1.18416657e-02,2.47715959e-02,5.49051477e-02,1.48246472e-01
-81.4,25.0,1.19365606e-02,2.53162685e-02,5.67423884e-02,1.55592758e-01
-81.2,25.0,1.19673414e-02,2.56446041e-02,5.79940201e-02,1.60841704e-01
-81.0,25.0,1.19251877e-02,2.57440608e-02,5.85294790e-02,1.62828473e-01
-80.8,25.0,1.17816221e-02,2.55609749e-02,5.83057480e-02,1.62448307e-01
-80.6,25.0,1.15366240e-02,2.50676302e-02,5.73303898e-02,1.60027991e-01
-80.4,25.0,1.11988987e-02,2.42517575e-02,5.55222572e-02,1.55565569e-01
-80.2,25.0,1.07247731e-02,2.31699086e-02,5.29033703e-02,1.48462220e-01
-82.0,25.2,1.14781120e-02,2.29882908e-02,4.98514719e-02,1.33764953e-01
-81.8,25.2,1.16154489e-02,2.35930425e-02,5.18116940e-02,1.40637557e-01
-81.6,25.2,1.17322937e-02,2.41706710e-02,5.39281928e-02,1.50635353e-01
-81.4,25.2,1.18172751e-02,2.46677001e-02,5.59007191e-02,1.61808727e-01
-81.2,25.2,1.18590265e-02,2.50076885e-02,5.73060993e-02,1.68956973e-01
-81.0,25.2,1.18210752e-02,2.51037881e-02,5.78864330e-02,1.71467249e-01
-80.8,25.2,1.16640513e-02,2.48722721e-02,5.76111278e-02,1.71060447e-01
-80.6,25.2,1.14127780e-02,2.43544500e-02,5.65836220e-02,1.68580179e-01
-80.4,25.2,1.10646859e-02,2.35720897e-02,5.47407862e-02,1.63856694e-01
-80.2,25.2,1.06106575e-02,2.25520606e-02,5.21029369e-02,1.55669149e-01
-80.0,25.2,1.01014249e-02,2.13564551e-02,4.87908175e-02,1.42213557e-01
-82.0,25.4,1.14706639e-02,2.27452634e-02,4.93747811e-02,1.33792777e-01
-81.8,25.4,1.15858933e-02,2.33058521e-02,5.14815438e-02,1.43222257e-01
-81.6,25.4,1.16939602e-02,2.38597079e-02,5.37642292e-02,1.56151742e-01
-81.4,25.4,1.17796504e-02,2.43372935e-02,5.58314165e-02,1.68024797e-01
-81.2,25.4,1.17975663e-02,2.46202709e-02,5.71841021e-02,1.74382175e-01
-81.0,25.4,1.17268534e-02,2.46447652e-02,5.76473825e-02,1.76473590e-01
-80.8,25.4,1.15549143e-02,2.43824043e-02,5.73150081e-02,1.75983275e-01
-80.6,25.4,1.13007346e-02,2.38627526e-02,5.62339008e-02,1.73460692e-01
-80.4,25.4,1.09538668e-02,2.31101373e-02,5.43956786e-02,1.68718761e-01
-80.2,25.4,1.05247134e-02,2.21405751e-02,5.17715392e-02,1.60537210e-01
-80.0,25.4,1.00410660e-02,2.10009332e-02,4.84132727e-02,1.46362432e-01
-97.6,25.6,3.01221085e-02,5.41495969e-02,1.03639243e-01,2.41748568e-01
-97.4,25.6,2.70275573e-02,4.87821308e-02,9.52679199e-02,2.29374862e-01
-97.2,25.6,2.43343398e-02,4.44373085e-02,8.89693203e-02,2.24165370e-01
-97.0,25.6,2.19157227e-02,4.07649952e-02,8.38605581e-02,2.23829677e-01
-82.0,25.6,1.15649462e-02,2.27551115e-02,4.95134417e-02,1.36199936e-01
-81.8,25.6,1.16556455e-02,2.32862245e-02,5.17864481e-02,1.48519400e-01
-81.6,25.6,1.17422891e-02,2.38034720e-02,5.41075510e-02,1.62211209e-01
-81.4,25.6,1.17892522e-02,2.42025178e-02,5.59937070e-02,1.71597234e-01
-81.2,25.6,1.17658668e-02,2.43978287e-02,5.71032641e-02,1.76055059e-01
-81.0,25.6,1.16692979e-02,2.43635673e-02,5.74214256e-02,1.77504927e-01
-80.8,25.6,1.14911359e-02,2.40811102e-02,5.70332908e-02,1.76867378e-01
-80.6,25.6,1.12399269e-02,2.35658399e-02,5.59269147e-02,1.74360075e-01
-80.4,25.6,1.08973918e-02,2.28328165e-02,5.41157180e-02,1.69806765e-01
-80.2,25.6,1.04854745e-02,2.18967875e-02,5.15503478e-02,1.62170790e-01
-80.0,25.6,1.00239260e-02,2.08025356e-02,4.82622583e-02,1.49004524e-01
-98.2,25.8,4.26091470e-02,7.62473699e-02,1.45052828e-01,3.33212636e-01
-98.0,25.8,3.79024240e-02,6.73254468e-02,1.28780472e-01,2.96760859e-01
-97.8,25.8,3.35559457e-02,6.02095227e-02,1.15340283e-01,2.70969644e-01
