lon,lat,475,975,2475,10000
-82.0,24.4,8.89935714e-03,1.58346774e-02,3.00483318e-02,7.06608287e-02
-81.8,24.4,9.02601409e-03,1.61524912e-02,3.07535725e-02,7.26294466e-02
-81.6,24.4,9.10372634e-03,1.64082074e-02,3.13887357e-02,7.45161720e-02
-81.4,24.4,9.14858159e-03,1.66074825e-02,3.19255279e-02,7.61856426e-02
-82.0,24.6,9.12353004e-03,1.60017989e-02,2.98538660e-02,6.88933340e-02
-81.8,24.6,9.19300054e-03,1.62131520e-02,3.03515703e-02,7.03157256e-02
-81.6,24.6,9.24830633e-03,1.64039887e-02,3.08203902e-02,7.16914653e-02
-81.4,24.6,9.28325187e-03,1.65568966e-02,3.12180516e-02,7.28931762e-02
-81.2,24.6,9.28923607e-03,1.66482738e-02,3.14895032e-02,7.37598689e-02
-81.0,24.6,9.25575022e-03,1.66508927e-02,3.15724928e-02,7.41121450e-02
-82.0,24.8,9.30217583e-03,1.61583264e-02,2.97623026e-02,6.75688927e-02
-81.8,24.8,9.35399187e-03,1.63292441e-02,3.01690571e-02,6.87422444e-02
-81.6,24.8,9.40150432e-03,1.64950032e-02,3.05761838e-02,6.99573169e-02
-81.4,24.8,9.43060010e-03,1.66284689e-02,3.09319662e-02,7.10865348e-02
-81.2,24.8,9.42948459e-03,1.66996723e-02,3.11592725e-02,7.18539479e-02
-81.0,24.8,9.38975172e-03,1.66852184e-02,3.12001446e-02,7.20749847e-02
-80.8,24.8,9.30836274e-03,1.65789096e-02,3.10488616e-02,7.17698212e-02
-80.6,24.8,9.18911836e-03,1.63840449e-02,3.07074860e-02,7.09382827e-02
-82.0,25.0,9.49859730e-03,1.63817265e-02,2.98526517e-02,6.67873584e-02
-81.8,25.0,9.54949539e-03,1.65508190e-02,3.02618441e-02,6.80184848e-02
-81.6,25.0,9.59787511e-03,1.67254925e-02,3.07267819e-02,6.96283488e-02
-81.4,25.0,9.63131649e-03,1.68771053e-02,3.11848105e-02,7.15386330e-02
-81.2,25.0,9.64252282e-03,1.69664009e-02,3.14961915e-02,7.27944388e-02
-81.0,25.0,9.63848732e-03,1.70034510e-02,3.16293756e-02,7.32411006e-02
-80.8,25.0,9.58023308e-03,1.69423691e-02,3.15396034e-02,7.30611442e-02
-80.6,25.0,9.46698668e-03,1.67684026e-02,3.12327137e-02,7.23172221e-02
-80.4,25.0,9.30464587e-03,1.64876239e-02,3.07214771e-02,7.10279876e-02
-80.2,25.0,9.08796172e-03,1.60926633e-02,2.99674388e-02,6.90120289e-02
-82.0,25.2,9.73389838e-03,1.66982685e-02,3.01495768e-02,6.65703892e-02
-81.8,25.2,9.78791035e-03,1.68840169e-02,3.06245335e-02,6.81386925e-02
-81.6,25.2,9.84858777e-03,1.70778703e-02,3.12511263e-02,7.07934987e-02
-81.4,25.2,9.90561142e-03,1.72660206e-02,3.19132649e-02,7.41393650e-02
-81.2,25.2,9.96604434e-03,1.74313061e-02,3.24049559e-02,7.60559628e-02
-81.0,25.2,9.97711336e-03,1.74964396e-02,3.26036913e-02,7.67043399e-02
-80.8,25.2,9.89366672e-03,1.74031557e-02,3.24637054e-02,7.64367507e-02
-80.6,25.2,9.75622366e-03,1.72132539e-02,3.21132970e-02,7.56189117e-02
-80.4,25.2,9.57081193e-03,1.69341061e-02,3.15615827e-02,7.42495536e-02
-80.2,25.2,9.33503553e-03,1.65134208e-02,3.07488838e-02,7.20061123e-02
-80.0,25.2,9.07078002e-03,1.60016584e-02,2.96423219e-02,6.80889694e-02
-82.0,25.4,1.00390388e-02,1.71289160e-02,3.07300752e-02,6.71183941e-02
-81.8,25.4,1.00962028e-02,1.73185858e-02,3.13260525e-02,6.94061162e-02
-81.6,25.4,1.01772331e-02,1.75582999e-02,3.21189376e-02,7.30897265e-02
-81.4,25.4,1.02675357e-02,1.78000149e-02,3.28672721e-02,7.63045155e-02
-81.2,25.4,1.03075733e-02,1.79378959e-02,3.32841079e-02,7.77823184e-02
-81.0,25.4,1.02812618e-02,1.79505401e-02,3.33836510e-02,7.81692487e-02
-80.8,25.4,1.01756607e-02,1.78295361e-02,3.31995346e-02,7.78082026e-02
-80.6,25.4,1.00214747e-02,1.76206831e-02,3.28233838e-02,7.69477880e-02
-80.4,25.4,9.82853574e-03,1.73359520e-02,3.22705054e-02,7.55946081e-02
-80.2,25.4,9.59036598e-03,1.69578673e-02,3.14772149e-02,7.34516636e-02
