lon,lat,475,975,2475,10000
-82.0,24.4,1.69982214e-02,3.35456682e-02,6.96643545e-02,1.70300748e-01
-81.8,24.4,1.72982188e-02,3.46343861e-02,7.23357580e-02,1.76875696e-01
-81.6,24.4,1.75270477e-02,3.56463302e-02,7.49264149e-02,1.83367405e-01
-81.4,24.4,1.76814543e-02,3.65170606e-02,7.72547861e-02,1.89310060e-01
-82.0,24.6,1.71205555e-02,3.29673228e-02,6.73667483e-02,1.63281492e-01
-81.8,24.6,1.73328827e-02,3.37829582e-02,6.93947487e-02,1.68254600e-01
-81.6,24.6,1.75071885e-02,3.45463376e-02,7.13515544e-02,1.73130965e-01
-81.4,24.6,1.76246949e-02,3.51916648e-02,7.30738436e-02,1.77482756e-01
-81.2,24.6,1.76574489e-02,3.56206283e-02,7.43292029e-02,1.80744329e-01
-81.0,24.6,1.75770374e-02,3.57318987e-02,7.48780843e-02,1.82330674e-01
-82.0,24.8,1.71944949e-02,3.24892845e-02,6.55433667e-02,1.57775599e-01
-81.8,24.8,1.73624703e-02,3.31464957e-02,6.72144899e-02,1.61981860e-01
-81.6,24.8,1.75002684e-02,3.37585755e-02,6.88429425e-02,1.66264752e-01
-81.4,24.8,1.75850584e-02,3.42615058e-02,7.02784648e-02,1.70250281e-01
-81.2,24.8,1.75905100e-02,3.45679618e-02,7.12771916e-02,1.73109308e-01
-81.0,24.8,1.74936940e-02,3.45951377e-02,7.16203827e-02,1.74227175e-01
-80.8,24.8,1.72867720e-02,3.43154799e-02,7.12663147e-02,1.73647361e-01
-80.6,24.8,1.69720921e-02,3.37169763e-02,7.01730554e-02,1.71279947e-01
-82.0,25.0,1.72915467e-02,3.21938079e-02,6.42956858e-02,1.53989985e-01
-81.8,25.0,1.74316714e-02,3.27648247e-02,6.58461711e-02,1.58306292e-01
-81.6,25.0,1.75431033e-02,3.33006784e-02,6.74558055e-02,1.63548478e-01
-81.4,25.0,1.76103717e-02,3.37453693e-02,6.89440177e-02,1.69227514e-01
-81.2,25.0,1.76111469e-02,3.40120985e-02,6.99674405e-02,1.73100040e-01
-81.0,25.0,1.75432607e-02,3.40508402e-02,7.03216009e-02,1.74411342e-01
-80.8,25.0,1.73626197e-02,3.37960908e-02,6.99786258e-02,1.73839819e-01
-80.6,25.0,1.70680887e-02,3.32444506e-02,6.89564557e-02,1.71611323e-01
-80.4,25.0,1.66369404e-02,3.24115753e-02,6.72735973e-02,1.67723869e-01
-80.2,25.0,1.60660243e-02,3.13027085e-02,6.48888524e-02,1.61736655e-01
-82.0,25.2,1.74263961e-02,3.20712896e-02,6.35475226e-02,1.51686865e-01
-81.8,25.2,1.75482471e-02,3.26063991e-02,6.51578353e-02,1.56957706e-01
-81.6,25.2,1.76535881e-02,3.31335389e-02,6.69704307e-02,1.64621521e-01
-81.4,25.2,1.77278935e-02,3.35876519e-02,6.86865186e-02,1.73162668e-01
-81.2,25.2,1.77681965e-02,3.38997686e-02,6.98689608e-02,1.78204342e-01
-81.0,25.2,1.77175435e-02,3.39607371e-02,7.02880062e-02,1.79820856e-01
-80.8,25.2,1.75130502e-02,3.36696095e-02,6.98912327e-02,1.79201058e-01
-80.6,25.2,1.71975578e-02,3.30977633e-02,6.88398155e-02,1.76954174e-01
-80.4,25.2,1.67679603e-02,3.22628553e-02,6.71388713e-02,1.72983730e-01
-80.2,25.2,1.61948902e-02,3.11680345e-02,6.47015961e-02,1.66445146e-01
-80.0,25.2,1.55538918e-02,2.98725958e-02,6.15458233e-02,1.55714033e-01
-82.0,25.4,1.76404785e-02,3.21825651e-02,6.34055154e-02,1.51234957e-01
-81.8,25.4,1.77504602e-02,3.27131029e-02,6.51957729e-02,1.58354785e-01
-81.6,25.4,1.78632929e-02,3.32620322e-02,6.72151580e-02,1.68143323e-01
-81.4,25.4,1.79612959e-02,3.37468713e-02,6.90222663e-02,1.76638077e-01
-81.2,25.4,1.79770198e-02,3.40125248e-02,7.01009580e-02,1.80916860e-01
-81.0,25.4,1.78799179e-02,3.39913152e-02,7.03689598e-02,1.82146681e-01
-80.8,25.4,1.76507385e-02,3.36607295e-02,6.99063991e-02,1.81422301e-01
-80.6,25.4,1.73223760e-02,3.30742681e-02,6.88277528e-02,1.79147920e-01
-80.4,25.4,1.69096079e-02,3.22541605e-02,6.71440793e-02,1.75221941e-01
-80.2,25.4,1.63523266e-02,3.11925152e-02,6.47494971e-02,1.68817999e-01
