lon,lat,475,975,2475,10000
-82.0,24.4,4.47876365e-04,1.17471107e-03,2.73461231e-03,6.65354651e-03
-81.8,24.4,4.57805015e-04,1.19651271e-03,2.77519600e-03,6.72846306e-03
-81.6,24.4,4.57588155e-04,1.20065318e-03,2.78891385e-03,6.76882726e-03
-81.4,24.4,4.56919031e-04,1.20515582e-03,2.80690330e-03,6.82979266e-03
-82.0,24.6,5.07053760e-04,1.27751762e-03,2.91490884e-03,6.99225272e-03
-81.8,24.6,5.07306944e-04,1.28283015e-03,2.93070140e-03,7.03565296e-03
-81.6,24.6,5.06606787e-04,1.28635718e-03,2.94342352e-03,7.07332739e-03
-81.4,24.6,5.05129713e-04,1.28837546e-03,2.95288617e-03,7.10231781e-03
-81.2,24.6,5.01864726e-04,1.28637649e-03,2.95289530e-03,7.10445163e-03
-81.0,24.6,4.96634511e-04,1.28060415e-03,2.94360433e-03,7.07903253e-03
-82.0,24.8,5.44777096e-04,1.34997513e-03,3.04899778e-03,7.27371649e-03
-81.8,24.8,5.43883090e-04,1.35352215e-03,3.06197925e-03,7.31161745e-03
-81.6,24.8,5.41354067e-04,1.35269775e-03,3.06314837e-03,7.31283560e-03
-81.4,24.8,5.37805617e-04,1.34971501e-03,3.05961287e-03,7.30180657e-03
-81.2,24.8,5.33056735e-04,1.34438158e-03,3.05123771e-03,7.27853452e-03
-81.0,24.8,5.26789804e-04,1.33577079e-03,3.03533007e-03,7.23414072e-03
-80.8,24.8,5.19394030e-04,1.32461270e-03,3.01356311e-03,7.17365363e-03
-80.6,24.8,5.10450393e-04,1.30917895e-03,2.98032488e-03,7.07814260e-03
-82.0,25.0,5.85974485e-04,1.42954023e-03,3.20150600e-03,7.61522396e-03
-81.8,25.0,5.82247917e-04,1.42644618e-03,3.19744292e-03,7.60075355e-03
-81.6,25.0,5.76700829e-04,1.41848142e-03,3.18066279e-03,7.54832228e-03
-81.4,25.0,5.70893761e-04,1.40999154e-03,3.16300159e-03,7.49506155e-03
-81.2,25.0,5.63151661e-04,1.39666299e-03,3.13264417e-03,7.40269764e-03
-81.0,25.0,5.52547142e-04,1.37564496e-03,3.08142096e-03,7.24547233e-03
-80.8,25.0,5.42121065e-04,1.35647040e-03,3.03832879e-03,7.12030766e-03
-80.6,25.0,5.33103782e-04,1.34184422e-03,3.00911980e-03,7.04140885e-03
-80.4,25.0,5.24309296e-04,1.32815802e-03,2.98328149e-03,6.97474667e-03
-80.2,25.0,5.15550126e-04,1.31534195e-03,2.96176602e-03,6.92523584e-03
-82.0,25.2,6.24691813e-04,1.50037889e-03,3.32816943e-03,7.87347759e-03
-81.8,25.2,6.18151477e-04,1.49115157e-03,3.30938606e-03,7.81596179e-03
-81.6,25.2,6.10867531e-04,1.47914112e-03,3.28222005e-03,7.73247703e-03
-81.4,25.2,6.00875595e-04,1.45953545e-03,3.23476422e-03,7.58808149e-03
-81.2,25.2,5.87822999e-04,1.43173000e-03,3.16570520e-03,7.37815742e-03
-81.0,25.2,5.75856240e-04,1.40844972e-03,3.11212603e-03,7.22269571e-03
-80.8,25.2,5.67659668e-04,1.39672443e-03,3.09151098e-03,7.17122948e-03
-80.6,25.2,5.59774134e-04,1.38643672e-03,3.07577552e-03,7.13651378e-03
-80.4,25.2,5.51189954e-04,1.37515968e-03,3.05937423e-03,7.10357129e-03
-80.2,25.2,5.42905204e-04,1.36506124e-03,3.04694080e-03,7.08404560e-03
-80.0,25.2,5.33459903e-04,1.35175264e-03,3.02606633e-03,7.03859547e-03
-82.0,25.4,6.56368202e-04,1.55065911e-03,3.39683619e-03,7.94685374e-03
-81.8,25.4,6.48923958e-04,1.54099558e-03,3.38014240e-03,7.90220849e-03
-81.6,25.4,6.37481631e-04,1.51958518e-03,3.33110540e-03,7.75840180e-03
-81.4,25.4,6.24257245e-04,1.49251278e-03,3.26587494e-03,7.56410711e-03
-81.2,25.4,6.12725341e-04,1.47145142e-03,3.21984588e-03,7.43448187e-03
-81.0,25.4,6.02533349e-04,1.45474227e-03,3.18674037e-03,7.34651554e-03
-80.8,25.4,5.94542197e-04,1.44509854e-03,3.17407461e-03,7.32296863e-03
-80.6,25.4,5.86610076e-04,1.43612238e-03,3.16409744e-03,7.30924749e-03
-80.4,25.4,5.78171727e-04,1.42597472e-03,3.15157204e-03,7.28908601e-03
-80.2,25.4,5.69646402e-04,1.41576652e-03,3.13948597e-03,7.27139350e-03
-80.0,25.4,5.60199421e-04,1.40302463e-03,3.12089363e-03,7.23405610e-03
-97.6,25.6,0.0,6.73834419e-04,1.55443127e-03,4.36659672e-03
-97.4,25.6,0.0,6.69429750e-04,1.54177199e-03,4.33020887e-03
-97.2,25.6,0.0,6.74619538e-04,1.54628492e-03,4.33462990e-03
-97.0,25.6,0.0,6.96202111e-04,1.58605760e-03,4.43624753e-03
-82.0,25.6,6.72887057e-04,1.56082398e-03,3.36242277e-03,7.71568287e-03
-81.8,25.6,6.68740436e-04,1.56107593e-03,3.37358861e-03,7.75938898e-03
-81.6,25.6,6.60013653e-04,1.54917857e-03,3.35340800e-03,7.71054344e-03
-81.4,25.6,6.49594964e-04,1.53316291e-03,3.32317926e-03,7.63217025e-03
-81.2,25.6,6.40342480e-04,1.52056054e-03,3.30256379e-03,7.58358505e-03
-81.0,25.6,6.31023847e-04,1.50811201e-03,3.28306107e-03,7.53966252e-03
-80.8,25.6,6.22599434e-04,1.49850464e-03,3.27185435e-03,7.52213915e-03
-80.6,25.6,6.13946172e-04,1.48862202e-03,3.26065307e-03,7.50615936e-03
-80.4,25.6,6.04957003e-04,1.47798002e-03,3.24798353e-03,7.48704646e-03
-80.2,25.6,5.95784589e-04,1.46678801e-03,3.23418885e-03,7.46540345e-03
-80.0,25.6,5.85956011e-04,1.45353899e-03,3.21495552e-03,7.42734654e-03
-98.2,25.8,3.95788428e-04,8.44426113e-04,1.91444716e-03,5.17980855e-03
-98.0,25.8,3.90123174e-04,8.31960412e-04,1.88402074e-03,5.08302087e-03
-97.8,25.8,3.85849364e-04,8.21610152e-04,1.85691371e-03,4.99536251e-03
-97.6,25.8,3.85819959e-04,8.17361952e-04,1.83817493e-03,4.92518565e-03
-97.4,25.8,3.91134889e-04,8.20936806e-04,1.83059679e-03,4.87824660e-03
-97.2,25.8,3.99745602e-04,8.30347661e-04,1.83464453e-03,4.86360474e-03
-97.0,25.8,4.09481221e-04,8.46149373e-04,1.86231987e-03,4.93612619e-03
-82.0,25.8,6.98557055e-04,1.59617836e-03,3.39958911e-03,7.71815919e-03
-81.8,25.8,6.95642874e-04,1.60006369e-03,3.42004105e-03,7.78866048e-03
-81.6,25.8,6.89761605e-04,1.59708242e-03,3.42416123e-03,7.81244853e-03
-81.4,25.8,6.80874158e-04,1.58696124e-03,3.41119316e-03,7.78749873e-03
-81.2,25.8,6.71257796e-04,1.57565661e-03,3.39663716e-03,7.76040703e-03
-81.0,25.8,6.61747972e-04,1.56477174e-03,3.38363722e-03,7.73898251e-03
-80.8,25.8,6.52206964e-04,1.55397347e-03,3.37138662e-03,7.72100808e-03
-80.6,25.8,6.42304227e-04,1.54244704e-03,3.35785467e-03,7.70063338e-03
-80.4,25.8,6.32314773e-04,1.53069212e-03,3.34408102e-03,7.68057592e-03
-80.2,25.8,6.22498999e-04,1.51921830e-03,3.33125075e-03,7.66410270e-03
-80.0,25.8,6.11795439e-04,1.50474098e-03,3.31016723e-03,7.62261332e-03
-98.8,26.0,4.20285759e-04,8.92209233e-04,2.01798912e-03,5.48089173e-03
-98.6,26.0,4.10552681e-04,8.70028120e-04,1.96064172e-03,5.28351924e-03
-98.4,26.0,4.04772602e-04,8.57360709e-04,1.92938965e-03,5.18044231e-03
-98.2,26.0,4.05289304e-04,8.58871958e-04,1.93504539e-03,5.20612675e-03
-98.0,26.0,4.06239931e-04,8.58120201e-04,1.92820553e-03,5.17972473e-03
-97.8,26.0,4.09091315e-04,8.57743423e-04,1.91412232e-03,5.11564612e-03
-97.6,26.0,4.15334725e-04,8.61436908e-04,1.90326900e-03,5.05066489e-03
-97.4,26.0,4.20347167e-04,8.63995897e-04,1.89292532e-03,4.99200423e-03
-97.2,26.0,4.22508381e-04,8.64392527e-04,1.88531788e-03,4.95455022e-03
-97.0,26.0,4.23472540e-04,8.66547575e-04,1.89037878e-03,4.96992715e-03
-82.0,26.0,7.32956981e-04,1.65263110e-03,3.48869214e-03,7.87267222e-03
-81.8,26.0,7.28906076e-04,1.65409851e-03,3.50326176e-03,7.92527780e-03
-81.6,26.0,7.22698640e-04,1.65125733e-03,3.50858938e-03,7.95275767e-03
-81.4,26.0,7.14593823e-04,1.64438116e-03,3.50498080e-03,7.95605534e-03
-81.2,26.0,7.05466897e-04,1.63561783e-03,3.49786350e-03,7.95130956e-03
